Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Proft,Operating Margin,Sales Method
Amazon,1185732,10/12/2021,South,Alabama,Birmingham,Men's Street Footwear,40,450,18000,6300,0.35,Outlet
Amazon,1185732,10/13/2021,South,Alabama,Birmingham,Men's Athletic Footwear,40,250,10000,3500,0.35,Outlet
Amazon,1185732,10/14/2021,South,Alabama,Birmingham,Women's Street Footwear,30,250,7500,3000,0.4,Outlet
Amazon,1185732,10/15/2021,South,Alabama,Birmingham,Women's Athletic Footwear,35,100,3500,1050,0.3,Outlet
Amazon,1185732,10/16/2021,Northeast,Maine,Portland,Men's Apparel,50,150,7500,1875,0.25,Outlet
Amazon,1185732,10/17/2021,Northeast,Maine,Portland,Women's Apparel,40,250,10000,4000,0.4,Outlet
Amazon,1185732,10/18/2021,Northeast,Maine,Portland,Men's Street Footwear,40,500,20000,7000,0.35,Outlet
Amazon,1185732,10/19/2021,Northeast,Maine,Portland,Men's Athletic Footwear,40,150,6000,2100,0.35,Outlet
Amazon,1185732,10/20/2021,Northeast,Maine,Portland,Women's Street Footwear,30,200,6000,2400,0.4,Outlet
Amazon,1185732,10/21/2021,Northeast,Maine,Portland,Women's Athletic Footwear,35,75,2625,788,0.3,Outlet
Amazon,1185732,10/22/2021,Northeast,Maine,Portland,Men's Apparel,50,150,7500,1875,0.25,Outlet
Amazon,1185732,10/23/2021,Northeast,Maine,Portland,Women's Apparel,40,250,10000,4000,0.4,Outlet
Amazon,1185732,10/24/2021,Northeast,Maine,Portland,Men's Street Footwear,40,470,18800,6580,0.35,Outlet
Amazon,1185732,10/25/2021,Northeast,Maine,Portland,Men's Athletic Footwear,40,175,7000,2450,0.35,Outlet
Amazon,1185732,10/26/2021,Northeast,Maine,Portland,Women's Street Footwear,30,200,6000,2400,0.4,Outlet
Amazon,1185732,10/27/2021,Northeast,Maine,Portland,Women's Athletic Footwear,35,50,1750,525,0.3,Outlet
Amazon,1185732,10/28/2021,Northeast,Maine,Portland,Men's Apparel,50,100,5000,1250,0.25,Outlet
Amazon,1185732,10/29/2021,Northeast,Maine,Portland,Women's Apparel,40,200,8000,3200,0.4,Outlet
Amazon,1185732,10/30/2021,Northeast,Maine,Portland,Men's Street Footwear,40,450,18000,6300,0.35,Outlet
Amazon,1185732,10/31/2021,Northeast,Maine,Portland,Men's Athletic Footwear,40,150,6000,2100,0.35,Outlet
Amazon,1185732,11/1/2021,Northeast,Maine,Portland,Women's Street Footwear,30,150,4500,1800,0.4,Outlet
Amazon,1185732,11/2/2021,Northeast,Maine,Portland,Women's Athletic Footwear,35,75,2625,788,0.3,Outlet
Amazon,1185732,11/3/2021,Northeast,Maine,Portland,Men's Apparel,50,75,3750,938,0.25,Outlet
Amazon,1185732,11/4/2021,Northeast,Maine,Portland,Women's Apparel,40,225,9000,3600,0.4,Outlet
Amazon,1185732,11/5/2021,Northeast,Maine,Portland,Men's Street Footwear,55,495,27225,9529,0.35,Outlet
Amazon,1185732,11/6/2021,Northeast,Maine,Portland,Men's Athletic Footwear,50,200,10000,3500,0.35,Outlet
Amazon,1185732,11/7/2021,Northeast,Maine,Portland,Women's Street Footwear,45,175,7875,3150,0.4,Outlet
Amazon,1185732,11/8/2021,Northeast,Maine,Portland,Women's Athletic Footwear,45,125,5625,1688,0.3,Outlet
Amazon,1185732,11/9/2021,Northeast,Maine,Portland,Men's Apparel,55,150,8250,2063,0.25,Outlet
Amazon,1185732,11/10/2021,Northeast,Maine,Portland,Women's Apparel,60,275,16500,6600,0.4,Outlet
Amazon,1185732,11/11/2021,Northeast,Maine,Portland,Men's Street Footwear,55,525,28875,10106,0.35,Outlet
Amazon,1185732,11/12/2021,Northeast,Maine,Portland,Men's Athletic Footwear,50,275,13750,4813,0.35,Outlet
Amazon,1185732,11/13/2021,Northeast,Maine,Portland,Women's Street Footwear,45,200,9000,3600,0.4,Outlet
Amazon,1185732,11/14/2021,Northeast,Maine,Portland,Women's Athletic Footwear,45,175,7875,2363,0.3,Outlet
Amazon,1185732,11/15/2021,Northeast,Maine,Portland,Men's Apparel,55,175,9625,2406,0.25,Outlet
Amazon,1185732,11/16/2021,Northeast,Maine,Portland,Women's Apparel,60,325,19500,7800,0.4,Outlet
Amazon,1185732,11/17/2021,Northeast,Maine,Portland,Men's Street Footwear,55,550,30250,10588,0.35,Outlet
Amazon,1185732,11/18/2021,Northeast,Maine,Portland,Men's Athletic Footwear,50,300,15000,5250,0.35,Outlet
Amazon,1185732,11/19/2021,Northeast,Maine,Portland,Women's Street Footwear,45,225,10125,4050,0.4,Outlet
Amazon,1185732,11/20/2021,Northeast,Maine,Portland,Women's Athletic Footwear,45,175,7875,2363,0.3,Outlet
Amazon,1185732,11/21/2021,Northeast,Maine,Portland,Men's Apparel,55,200,11000,2750,0.25,Outlet
Amazon,1185732,12/20/2021,Northeast,Maine,Portland,Women's Apparel,60,375,22500,9000,0.4,Outlet
Amazon,1185732,12/21/2021,Northeast,Maine,Portland,Men's Street Footwear,55,525,28875,10106,0.35,Outlet
Amazon,1185732,12/22/2021,Northeast,Maine,Portland,Men's Athletic Footwear,50,300,15000,5250,0.35,Outlet
Amazon,1185732,12/23/2021,Northeast,Maine,Portland,Women's Street Footwear,45,225,10125,4050,0.4,Outlet
Amazon,1185732,12/24/2021,Northeast,Maine,Portland,Women's Athletic Footwear,45,175,7875,2363,0.3,Outlet
Amazon,1185732,12/25/2021,Northeast,Maine,Portland,Men's Apparel,55,150,8250,2063,0.25,Outlet
Amazon,1185732,12/26/2021,Northeast,Maine,Portland,Women's Apparel,60,325,19500,7800,0.4,Outlet
Amazon,1185732,12/27/2021,Northeast,Maine,Portland,Men's Street Footwear,55,450,24750,8663,0.35,Outlet
Amazon,1185732,12/28/2021,Northeast,Maine,Portland,Men's Athletic Footwear,50,250,12500,4375,0.35,Outlet
Amazon,1185732,12/29/2021,Northeast,Maine,Portland,Women's Street Footwear,45,150,6750,2700,0.4,Outlet
Amazon,1185732,12/30/2021,Northeast,Maine,Portland,Women's Athletic Footwear,45,125,5625,1688,0.3,Outlet
Amazon,1185732,12/31/2021,Northeast,Maine,Portland,Men's Apparel,55,125,6875,1719,0.25,Outlet
Amazon,1185732,9/17/2021,Northeast,Maine,Portland,Women's Apparel,60,225,13500,5400,0.4,Outlet
Amazon,1185732,10/19/2021,Northeast,Maine,Portland,Men's Street Footwear,60,400,24000,8400,0.35,Outlet
Amazon,1185732,10/19/2021,Northeast,Maine,Portland,Men's Athletic Footwear,55,225,12375,4331,0.35,Outlet
Amazon,1185732,10/19/2021,Northeast,Maine,Portland,Women's Street Footwear,55,125,6875,2750,0.4,Outlet
Amazon,1185732,10/19/2021,Northeast,Maine,Portland,Women's Athletic Footwear,55,100,5500,1650,0.3,Outlet
Amazon,1185732,10/19/2021,Northeast,Maine,Portland,Men's Apparel,65,100,6500,1625,0.25,Outlet
Amazon,1185732,10/19/2021,Northeast,Maine,Portland,Women's Apparel,70,225,15750,6300,0.4,Outlet
Amazon,1185732,11/18/2021,Northeast,Maine,Portland,Men's Street Footwear,65,375,24375,8531,0.35,Outlet
Amazon,1185732,11/18/2021,Northeast,Maine,Portland,Men's Athletic Footwear,55,200,11000,3850,0.35,Outlet
Amazon,1185732,11/18/2021,Northeast,Maine,Portland,Women's Street Footwear,55,195,10725,4290,0.4,Outlet
Amazon,1185732,11/18/2021,Northeast,Maine,Portland,Women's Athletic Footwear,55,175,9625,2888,0.3,Outlet
Amazon,1185732,11/18/2021,Northeast,Maine,Portland,Men's Apparel,65,150,9750,2438,0.25,Outlet
Amazon,1185732,11/18/2021,Northeast,Maine,Portland,Women's Apparel,70,250,17500,7000,0.4,Outlet
Amazon,1185732,12/17/2021,Northeast,Maine,Portland,Men's Street Footwear,65,475,30875,10806,0.35,Outlet
Amazon,1185732,12/17/2021,Northeast,Maine,Portland,Men's Athletic Footwear,55,275,15125,5294,0.35,Outlet
Amazon,1185732,12/17/2021,Northeast,Maine,Portland,Women's Street Footwear,55,250,13750,5500,0.4,Outlet
Amazon,1185732,12/17/2021,Northeast,Maine,Portland,Women's Athletic Footwear,55,200,11000,3300,0.3,Outlet
Amazon,1185732,12/17/2021,Northeast,Maine,Portland,Men's Apparel,65,200,13000,3250,0.25,Outlet
Amazon,1185732,12/17/2021,Northeast,Maine,Portland,Women's Apparel,70,300,21000,8400,0.4,Outlet
Amazon,1185732,1/24/2021,West,Alaska,Anchorage,Women's Apparel,55,300,16500,4950,0.3,Outlet
Amazon,1185732,2/22/2021,West,Alaska,Anchorage,Men's Street Footwear,55,575,31625,11069,0.35,Outlet
Amazon,1185732,2/22/2021,West,Alaska,Anchorage,Men's Athletic Footwear,55,225,12375,4331,0.35,Outlet
Amazon,1185732,2/22/2021,West,Alaska,Anchorage,Women's Street Footwear,45,275,12375,3094,0.25,Outlet
Amazon,1185732,2/22/2021,West,Alaska,Anchorage,Women's Athletic Footwear,50,175,8750,2188,0.25,Outlet
Amazon,1185732,2/22/2021,West,Alaska,Anchorage,Men's Apparel,65,250,16250,4063,0.25,Outlet
Amazon,1185732,2/22/2021,West,Alaska,Anchorage,Women's Apparel,55,350,19250,5775,0.3,Outlet
Amazon,1185732,3/20/2021,West,Alaska,Anchorage,Men's Street Footwear,55,545,29975,10491,0.35,Outlet
Amazon,1185732,3/20/2021,West,Alaska,Anchorage,Men's Athletic Footwear,55,250,13750,4813,0.35,Outlet
Amazon,1185732,3/20/2021,West,Alaska,Anchorage,Women's Street Footwear,45,275,12375,3094,0.25,Outlet
Amazon,1185732,3/20/2021,West,Alaska,Anchorage,Women's Athletic Footwear,50,125,6250,1563,0.25,Outlet
Amazon,1185732,3/20/2021,West,Alaska,Anchorage,Men's Apparel,65,175,11375,2844,0.25,Outlet
Amazon,1185732,3/20/2021,West,Alaska,Anchorage,Women's Apparel,55,275,15125,4538,0.3,Outlet
Amazon,1185732,4/21/2021,West,Alaska,Anchorage,Men's Street Footwear,55,525,28875,10106,0.35,Outlet
Amazon,1185732,4/21/2021,West,Alaska,Anchorage,Men's Athletic Footwear,55,225,12375,4331,0.35,Outlet
Amazon,1185732,4/21/2021,West,Alaska,Anchorage,Women's Street Footwear,45,225,10125,2531,0.25,Outlet
Amazon,1185732,4/21/2021,West,Alaska,Anchorage,Women's Athletic Footwear,50,150,7500,1875,0.25,Outlet
Amazon,1185732,4/21/2021,West,Alaska,Anchorage,Men's Apparel,60,150,9000,2250,0.25,Outlet
Amazon,1185732,4/21/2021,West,Alaska,Anchorage,Women's Apparel,50,300,15000,4500,0.3,Outlet
Amazon,1185732,5/20/2021,West,Alaska,Anchorage,Men's Street Footwear,65,570,37050,12968,0.35,Outlet
Amazon,1185732,5/20/2021,West,Alaska,Anchorage,Men's Athletic Footwear,60,275,16500,5775,0.35,Outlet
Amazon,1185732,5/20/2021,West,Alaska,Anchorage,Women's Street Footwear,55,300,16500,4125,0.25,Outlet
Amazon,1185732,5/20/2021,West,Alaska,Anchorage,Women's Athletic Footwear,55,250,13750,3438,0.25,Outlet
Amazon,1185732,5/20/2021,West,Alaska,Anchorage,Men's Apparel,65,275,17875,4469,0.25,Outlet
Amazon,1185732,5/20/2021,West,Alaska,Anchorage,Women's Apparel,70,400,28000,8400,0.3,Outlet
Amazon,1185732,6/22/2021,West,Alaska,Anchorage,Men's Street Footwear,65,650,42250,14788,0.35,Outlet
Amazon,1185732,6/22/2021,West,Alaska,Anchorage,Men's Athletic Footwear,60,400,24000,8400,0.35,Outlet
Amazon,1185732,6/22/2021,West,Alaska,Anchorage,Women's Street Footwear,55,325,17875,4469,0.25,Outlet
Amazon,1185732,6/22/2021,West,Alaska,Anchorage,Women's Athletic Footwear,55,300,16500,4125,0.25,Outlet
Amazon,1185732,6/22/2021,West,Alaska,Anchorage,Men's Apparel,65,300,19500,4875,0.25,Outlet
Amazon,1185732,6/22/2021,West,Alaska,Anchorage,Women's Apparel,70,450,31500,9450,0.3,Outlet
Amazon,1185732,7/20/2021,West,Alaska,Anchorage,Men's Street Footwear,65,675,43875,15356,0.35,Outlet
Amazon,1185732,7/20/2021,West,Alaska,Anchorage,Men's Athletic Footwear,60,425,25500,8925,0.35,Outlet
Amazon,1185732,7/20/2021,West,Alaska,Anchorage,Women's Street Footwear,55,350,19250,4813,0.25,Outlet
Amazon,1185732,7/20/2021,West,Alaska,Anchorage,Women's Athletic Footwear,55,300,16500,4125,0.25,Outlet
Amazon,1185732,7/20/2021,West,Alaska,Anchorage,Men's Apparel,65,325,21125,5281,0.25,Outlet
Amazon,1185732,7/20/2021,West,Alaska,Anchorage,Women's Apparel,70,500,35000,10500,0.3,Outlet
Amazon,1185732,8/21/2021,West,Alaska,Anchorage,Men's Street Footwear,65,650,42250,14788,0.35,Outlet
Amazon,1185732,8/21/2021,West,Alaska,Anchorage,Men's Athletic Footwear,60,425,25500,8925,0.35,Outlet
Amazon,1185732,8/21/2021,West,Alaska,Anchorage,Women's Street Footwear,55,350,19250,4813,0.25,Outlet
Amazon,1185732,8/21/2021,West,Alaska,Anchorage,Women's Athletic Footwear,55,250,13750,3438,0.25,Outlet
Amazon,1185732,8/21/2021,West,Alaska,Anchorage,Men's Apparel,65,225,14625,3656,0.25,Outlet
Amazon,1185732,8/21/2021,West,Alaska,Anchorage,Women's Apparel,70,400,28000,8400,0.3,Outlet
Amazon,1185732,9/20/2021,West,Alaska,Anchorage,Men's Street Footwear,65,525,34125,11944,0.35,Outlet
Amazon,1185732,9/20/2021,West,Alaska,Anchorage,Men's Athletic Footwear,60,325,19500,6825,0.35,Outlet
Amazon,1185732,9/20/2021,West,Alaska,Anchorage,Women's Street Footwear,55,225,12375,3094,0.25,Outlet
Amazon,1185732,9/20/2021,West,Alaska,Anchorage,Women's Athletic Footwear,55,200,11000,2750,0.25,Outlet
Amazon,1185732,9/20/2021,West,Alaska,Anchorage,Men's Apparel,65,200,13000,3250,0.25,Outlet
Amazon,1185732,9/20/2021,West,Alaska,Anchorage,Women's Apparel,70,300,21000,6300,0.3,Outlet
Amazon,1185732,10/22/2021,West,Alaska,Anchorage,Men's Street Footwear,70,450,31500,11025,0.35,Outlet
Amazon,1185732,10/22/2021,West,Alaska,Anchorage,Men's Athletic Footwear,65,275,17875,6256,0.35,Outlet
Amazon,1185732,10/22/2021,West,Alaska,Anchorage,Women's Street Footwear,65,175,11375,2844,0.25,Outlet
Amazon,1185732,10/22/2021,West,Alaska,Anchorage,Women's Athletic Footwear,65,150,9750,2438,0.25,Outlet
Amazon,1185732,10/22/2021,West,Alaska,Anchorage,Men's Apparel,75,150,11250,2813,0.25,Outlet
Amazon,1185732,10/22/2021,West,Alaska,Anchorage,Women's Apparel,80,275,22000,6600,0.3,Outlet
Amazon,1185732,11/21/2021,West,Alaska,Anchorage,Men's Street Footwear,75,425,31875,11156,0.35,Outlet
Amazon,1185732,11/21/2021,West,Alaska,Anchorage,Men's Athletic Footwear,65,300,19500,6825,0.35,Outlet
